chromosomes,Bos_taurus_2,Capra_hircus_2,Ceratotherium_simum_9,Equus_caballus_18,Giraffa_tippelskirchi_3,Gorilla_gorilla_3,Mus_musculus_2,Panthera_tigris_C1,Sus_scrofa_15,Tursiops_truncatus_7
uce-143_p2,0,0,0,0,0,0,0,0,0,0
uce-1430_p1,0,0,0,0,0,0,0,0,0,0
uce-1434_p3,0,0,0,0,0,0,1,0,0,0
uce-1435_p3,0,0,0,0,1,0,0,0,1,0
uce-1438_p1,0,0,0,0,0,0,0,0,0,0
uce-144_p1,0,0,0,0,0,0,0,0,0,0
uce-1442_p1,0,0,0,0,0,0,0,0,0,0
uce-1446_p1,0,0,0,0,0,0,0,0,0,0
uce-1447_p1,0,0,0,0,0,0,0,0,0,0
uce-1450_p3,0,0,0,0,0,0,0,0,0,0
uce-1451_p1,0,0,0,0,0,0,0,0,0,0
uce-1453_p1,0,0,0,0,0,0,0,0,0,0
uce-1454_p1,0,0,0,0,0,0,0,0,0,0
uce-1454_p2,0,0,0,0,0,0,0,0,0,0
uce-1456_p1,0,0,0,0,0,0,1,0,0,0
uce-1456_p2,0,0,0,0,0,0,1,0,0,0
uce-1456_p3,0,0,0,0,0,0,1,0,0,0
uce-1457_p2,0,0,0,0,0,0,0,0,0,0
uce-1458_p3,0,0,0,0,0,0,0,0,0,0
uce-146_p2,0,0,0,0,0,0,0,1,0,0
uce-1462_p2,0,0,0,0,0,0,0,0,0,0
uce-1463_p1,0,0,0,0,0,0,0,0,0,0
uce-1463_p2,0,0,0,0,0,0,0,0,0,0
uce-1466_p1,0,0,0,0,0,0,0,0,0,0
uce-1467_p1,0,0,0,0,0,0,0,0,0,0
uce-1468_p1,0,0,0,0,0,0,0,0,0,0
uce-1469_p1,0,0,0,0,0,0,0,0,0,0
uce-1469_p2,0,0,0,0,0,0,0,0,0,0
uce-147_p1,0,0,0,0,0,0,0,1,0,0
uce-1470_p1,0,0,0,0,0,0,0,0,0,0
uce-1470_p2,0,0,0,0,0,0,0,0,0,0
uce-1471_p1,0,0,0,0,0,0,0,0,0,0
uce-1474_p1,0,0,0,0,0,0,0,0,0,0
uce-1474_p2,0,0,0,0,0,0,0,0,0,0
uce-1476_p1,0,0,0,0,0,0,0,0,0,0
uce-1476_p2,0,0,0,0,0,0,0,0,0,0
uce-1477_p1,0,0,0,0,0,0,0,0,0,0
uce-1477_p2,0,0,0,0,0,0,0,0,0,0
uce-1477_p3,0,0,0,0,0,0,0,0,0,0
uce-1477_p4,0,0,0,0,0,0,0,0,0,0
uce-1477_p5,0,0,0,0,0,0,0,0,0,0
uce-1478_p1,0,0,0,0,0,0,0,1,0,0
uce-148_p2,0,0,0,0,0,0,0,0,0,0
uce-1480_p2,0,0,0,0,0,0,0,0,0,0
uce-1482_p1,0,0,0,0,0,0,0,0,0,0
uce-1483_p1,0,0,0,0,0,0,0,0,0,0
uce-1484_p1,0,0,0,0,0,0,0,0,0,0
uce-1485_p1,0,0,0,0,0,0,0,0,0,0
uce-1488_p2,0,0,0,0,0,0,0,0,0,0
uce-1489_p2,0,0,0,0,0,0,0,0,0,0
uce-149_p6,0,0,0,0,0,0,0,0,0,0
uce-1490_p2,1,1,1,1,1,1,1,1,1,1
uce-1492_p3,0,0,0,0,0,0,0,0,0,0
uce-1497_p2,0,0,0,0,0,0,0,1,0,0
uce-1498_p1,0,0,0,0,0,0,0,0,1,0
uce-1499_p1,0,0,0,0,0,0,0,0,0,0
uce-1499_p2,0,0,0,0,0,0,0,0,0,0
uce-15_p5,1,1,1,1,1,1,1,1,1,1
uce-1500_p1,0,0,0,0,0,0,0,0,1,0
uce-1501_p2,0,0,0,0,0,0,0,0,0,0
uce-1504_p2,0,0,0,0,0,0,0,0,0,0
uce-1506_p1,0,0,0,0,0,0,1,0,0,0
uce-1507_p1,0,0,0,0,0,0,0,0,0,0
uce-1508_p1,0,0,0,0,0,0,0,0,0,0
uce-1509_p2,0,0,0,0,0,0,0,0,0,0
uce-1511_p1,0,0,0,0,0,0,0,0,0,0
uce-1512_p2,0,0,0,0,0,0,0,0,0,0
uce-1514_p2,1,1,1,1,1,1,1,1,1,1
uce-1520_p2,0,0,0,0,0,0,0,0,0,0
uce-1523_p2,0,0,0,0,0,0,0,0,0,0
uce-1526_p5,0,0,0,0,0,0,0,0,0,0
uce-1526_p6,0,0,0,0,0,0,0,0,0,0
uce-1528_p2,0,0,0,0,0,0,1,0,0,0
uce-1529_p1,0,0,0,0,0,0,0,0,0,0
uce-153_p1,0,0,0,0,0,0,0,0,0,0
uce-1530_p2,0,0,0,0,0,0,0,0,0,0
uce-1531_p2,0,0,0,0,0,0,0,0,0,0
uce-1533_p1,0,0,0,0,0,0,0,0,0,0
